,Date,Yahoo,Microsoft,Google,Facebook,Apple
1164,2011-05-17,16.00,24.52,530.460905,44.419995,336.140003
1163,2011-05-18,15.96,24.690001,529.810894,44.509997,339.869995
1162,2011-05-19,16.35,24.719999,531.250905,44.360001,340.53001
1161,2011-05-20,16.299999,24.49,524.030877,44.579998,335.220009
1160,2011-05-23,16.059999,24.17,518.39091,43.590001,334.39999
1159,2011-05-24,16.139999,24.15,518.260907,43.499998,332.190006
1158,2011-05-25,16.15,24.190001,519.670899,44.089999,336.779991
1157,2011-05-26,15.98,24.67,518.130905,38.379999,335.000004
1156,2011-05-27,16.02,24.76,520.900897,40.040001,337.409992
1155,2011-05-31,16.549999,25.01,529.020894,39.889996,347.82999
1154,2011-06-01,15.85,24.43,525.60089,39.25,345.509991
1153,2011-06-02,16.02,24.219999,528.060886,39.189997,346.099991
1152,2011-06-03,15.68,23.91,523.080917,38.470002,343.44001
1151,2011-06-06,15.45,24.01,521.060919,37.879999,338.039993
1150,2011-06-07,15.45,24.059999,519.030874,37.999998,332.039989
1149,2011-06-08,15.10,23.940001,519.170862,37.679998,332.239994
1148,2011-06-09,15.22,23.959999,516.730899,38.379999,331.48999
1147,2011-06-10,15.20,23.709999,509.510871,37.689996,325.900009
1146,2011-06-13,15.16,24.040001,504.730868,37.90,326.599998
1145,2011-06-14,15.20,24.219999,508.37087,38.48,332.439999
1144,2011-06-15,14.81,23.74,502.950872,38.199999,326.749989
1143,2011-06-16,14.78,24.00,500.370859,38.450001,325.159992
1142,2011-06-17,14.70,24.26,485.020818,38.499996,320.259987
1141,2011-06-20,14.99,24.469999,484.58082,38.549997,315.320007
1140,2011-06-21,15.35,24.76,493.000857,39.099995,325.299995
1139,2011-06-22,15.23,24.65,487.010827,38.270001,322.610001
1138,2011-06-23,15.08,24.629999,480.220812,37.699999,331.230011
1137,2011-06-24,14.89,24.299999,474.880824,37.089998,326.350006
1136,2011-06-27,14.88,25.200001,482.800824,37.179998,332.039989
1135,2011-06-28,14.95,25.799999,493.650838,37.199999,335.26001
1134,2011-06-29,14.89,25.620001,497.570848,37.429999,334.040009
1133,2011-06-30,15.04,26.00,506.380861,37.959999,335.670006
1132,2011-07-01,15.45,26.02,521.0309,38.359998,343.260006
1131,2011-07-05,15.49,26.030001,532.440897,38.090001,349.43
1130,2011-07-06,15.72,26.33,535.360925,38.07,351.759987
1129,2011-07-07,15.81,26.77,546.600915,38.270001,357.200005
1128,2011-07-08,15.61,26.92,531.990913,37.819998,359.709995
1127,2011-07-11,15.05,26.629999,527.280934,37.119997,354.000011
1126,2011-07-12,14.86,26.540001,534.010911,37.009996,353.749992
1125,2011-07-13,14.91,26.629999,538.26092,36.81,358.019997
1124,2011-07-14,14.63,26.469999,528.940883,36.72,357.770004
1123,2011-07-15,14.69,26.780001,597.621053,36.650001,364.919994
1122,2011-07-18,14.42,26.59,594.940997,36.27,373.800011
1121,2011-07-19,14.59,27.540001,602.551031,36.959998,376.849987
1120,2011-07-20,13.48,27.059999,595.351037,37.169997,386.89999
1119,2011-07-21,13.59,27.10,606.99102,37.879999,387.290012
1118,2011-07-22,13.98,27.530001,618.231071,37.929999,393.300003
1117,2011-07-25,13.69,27.91,618.981066,36.879999,398.499989
1116,2011-07-26,13.94,28.08,622.521085,36.689998,403.410007
1115,2011-07-27,13.59,27.33,607.221066,35.509998,392.59
1114,2011-07-28,13.50,27.719999,610.941019,35.339998,391.819996
1113,2011-07-29,13.10,27.40,603.691033,35.279997,390.479992
1112,2011-08-01,13.10,27.27,606.771021,34.439998,396.749989
1111,2011-08-02,12.76,26.799999,592.40099,33.999999,388.909996
1110,2011-08-03,13.02,26.92,601.171059,33.739999,392.57
1109,2011-08-04,12.00,25.940001,577.520997,32.90,377.369999
1108,2011-08-05,11.74,25.68,579.041019,33.49,373.620007
1107,2011-08-08,11.09,24.48,546.020929,30.839999,353.210007
1106,2011-08-09,12.09,25.58,573.410976,31.969999,374.010002
1105,2011-08-10,11.77,24.200001,549.01092,28.239999,363.690006
1104,2011-08-11,12.86,25.190001,562.130981,29.359999,373.700008
1103,2011-08-12,13.59,25.10,563.770958,29.24,376.98999
1102,2011-08-15,13.47,25.51,557.230961,30.069998,383.410004
1101,2011-08-16,13.48,25.35,539.000928,29.92,380.480003
1100,2011-08-17,13.47,25.25,533.150886,29.69,380.440002
1099,2011-08-18,12.96,24.67,504.880873,28.279999,366.050007
1098,2011-08-19,12.92,24.049999,490.920851,26.919999,356.029991
1097,2011-08-22,12.84,23.98,498.170868,27.719998,356.439987
1096,2011-08-23,13.35,24.719999,518.820861,29.02,373.600006
1095,2011-08-24,13.15,24.90,523.290869,29.339998,376.180012
1094,2011-08-25,12.87,24.57,520.040873,28.329999,373.720009
1093,2011-08-26,12.74,25.25,526.860908,28.829999,383.579994
1092,2011-08-29,13.68,25.84,539.080939,30.389999,389.969994
1091,2011-08-30,13.84,26.23,540.700944,30.839999,389.989994
1090,2011-08-31,13.61,26.60,540.960948,30.659999,384.830009
1089,2011-09-01,13.35,26.209999,532.500936,29.92,381.030003
1088,2011-09-02,12.87,25.799999,524.84091,28.589999,374.050003
1087,2011-09-06,12.91,25.51,522.180887,27.649999,379.740013
1086,2011-09-07,13.61,26.00,534.030944,29.209998,383.929989
1085,2011-09-08,14.44,26.219999,534.960932,28.43,384.140007
1084,2011-09-09,14.48,25.74,524.850896,27.629998,377.479988
1083,2011-09-12,14.26,25.889999,530.12089,27.899998,379.939991
1082,2011-09-13,14.26,26.040001,529.520931,28.179998,384.619991
1081,2011-09-14,14.55,26.50,532.070924,28.299998,389.299992
1080,2011-09-15,14.89,26.99,542.56092,28.84,392.959995
1079,2011-09-16,14.97,27.120001,546.680926,29.279999,400.500008
1078,2011-09-19,14.61,27.209999,546.67094,28.61,411.630009
1077,2011-09-20,14.36,26.98,546.630935,28.139999,413.449997
1076,2011-09-21,13.96,25.99,539.200955,26.959998,412.140007
1075,2011-09-22,13.99,25.059999,520.660865,26.029999,401.820011
1074,2011-09-23,14.71,25.059999,525.510893,26.04,404.299988
1073,2011-09-26,14.75,25.440001,531.89093,27.219998,403.170002
1072,2011-09-27,14.54,25.67,539.340943,27.869999,399.260006
1071,2011-09-28,14.19,25.58,528.8409,27.04,397.009995
1070,2011-09-29,13.42,25.450001,527.500933,27.629998,390.570007
1069,2011-09-30,13.17,24.889999,515.04087,26.85,381.319996
1068,2011-10-03,13.53,24.530001,495.520861,26.599998,374.600002
1067,2011-10-04,14.46,25.34,501.900867,27.370001,372.500008
1066,2011-10-05,15.92,25.889999,504.700879,28.089999,378.249992
1065,2011-10-06,15.65,26.34,514.710902,28.919999,377.369999
1064,2011-10-07,15.47,26.25,515.120881,28.589999,369.799999
1063,2011-10-10,15.84,26.940001,537.17091,29.749998,388.809994
1062,2011-10-11,15.86,27.00,543.180912,29.819999,400.289989
1061,2011-10-12,15.77,26.959999,548.500958,30.399999,402.190006
1060,2011-10-13,15.93,27.18,558.990954,30.059998,408.429989
